ulasan_asli;kategori;preprocessed_text;tokens_count
wastafel di toilet kafe kotor dan terlihat tersumbat, airnya menggenang dan menimbulkan bau.. semoga kritik saya ini bisa menjadi bahan evaluasi. fasilitas seperti ini sangat penting untuk dijaga kebersihannya demi kenyamanan pelanggan.;suasana;wastafel toilet kafe kotor lihat sumbat air genang timbul bau moga kritik jadi bahan evaluasi fasilitas sangat penting jaga bersih nyaman langgan;22
pelayan bermuka masam saat saya bertanya tentang menu yang tersedia, padahal saya hanya ingin tahu rekomendasi menu. sikap seperti ini membuat pelanggan tidak nyaman berkunjung. saya berharap ada perbaikan secepatnya. saya juga merasa seharusnya pelanggan dilayani dengan sopan dan cepat;pelayanan;layan muka masam tanya menu sedia padahal tahu rekomendasi menu sikap buat langgan tidak nyaman kunjung harap baik cepat rasa langgan layan sopan cepat;24
pelayanan di kafe ini sangat lamban, ini sangat merusak mood saya hari itu.. saya sudah memanggil pelayan berkali-kali tapi tidak ada yang datang menghampiri meja saya untuk mengambil pesanan.. sangat mengecewakan.. saya jadi berpikir dua kali untuk datang lagi;pelayanan;layan kafe sangat lamban sangat rusak mood hari panggil layan kali kali tidak datang hampir meja ambil pesan sangat kecewa jadi pikir kali datang;24
toilet kafe meine welt kurang bersih dan berbau tidak sedap, sabun cuci tangan juga habis tidak diisi ulang dan musik di kafe ini amat keras volumenya sampai harus berteriak untuk mengobrol dengan teman, amat mengganggu kenyamanan dan banyak colokan listrik di kafe yang sudah rusak dan tidak berfungsi, padahal pelanggan sangat membutuhkan colokan untuk mengisi daya perangkat mereka;suasana;toilet kafe meine welt kurang bersih bau tidak sedap sabun cuci tangan habis tidak isi ulang musik kafe keras volume teriak obrol teman ganggu nyaman banyak colok listrik kafe rusak tidak fungsi padahal langgan sangat butuh colok isi daya perangkat;40
harga minuman di sini amat tidak sebanding dengan rasa yang didapat, saya datang jauh-jauh dari rumah ke sini. bayar overprice tapi rasa biasa saja. kafe lain dengan harga yang sama bisa memberikan minuman yang jauh lebih enak. hal ini sangat mengganggu kenyamanan saya;harga;harga minum sini tidak banding rasa dapat datang jauh jauh rumah sini bayar mahal rasa biasa kafe harga sama beri minum jauh lebih enak sangat ganggu nyaman;27
waktu saya nongkrong di kafe ini, pesanan saya tidak kunjung datang meski sudah menunggu banget lama banget di meja, saya terpaksa menghampiri kasir untuk menanyakan status pesanan. ini seharusnya tidak perlu terjadi;pelayanan;waktu nongkrong kafe pesan tidak kunjung datang meski tunggu sangat lama sangat meja paksa hampir kasir tanya status pesan tidak perlu jadi;22
meja yang saya tempati masih kotor bekas pelanggan sebelumnya saat saya datang, harus minta pelayan untuk membersihkannya dulu. lebih menyebalkan lagi suasana kafe meine welt kurang nyaman untuk kerja atau belajar karena terlalu ramai dan berisik, pencahayaan juga kurang mendukung. yang membuat saya kesal adalah kenyamanan tempat adalah alasan utama orang datang ke kafe;suasana;meja tempat kotor bekas langgan belum datang minta layan bersih dulu lebih sebal suasana kafe meine welt kurang nyaman kerja ajar terlalu ramai berisik cahaya kurang dukung buat kesal nyaman tempat alas utama orang datang kafe;36
malam ini saya kecewa karena lavanilla yang saya pesan rasanya terlalu manis sampai bikin eneg, perbandingan gula dan susunya tidak seimbang.. saya jadi berpikir dua kali untuk datang lagi. seharusnya bisa dibuat dengan tingkat kemanisan yang lebih pas. ditambah dengan fakta bahwa standar kualitas makanan perlu dijaga dengan ketat;produk;malam kecewa lavanilla pesan rasa terlalu manis bikin eneg banding gula susu tidak imbang jadi pikir kali datang buat tingkat manis lebih pas tambah fakta standar kualitas makan perlu jaga ketat;31
sore tadi ketika saya mampir, AC di kafe ini kurang dingin apalagi saat siang hari, rasanya gerah sekali duduk di dalam. seharusnya AC dirawat secara berkala supaya pelanggan tetap merasa nyaman saat berkunjung;suasana;sore tadi mampir ac kafe kurang dingin siang hari rasa gerah sekali duduk ac rawat kala langgan tetap rasa nyaman kunjung;21
terakhir kali saya berkunjung, AC di kafe ini kurang dingin apalagi saat siang hari, rasanya gerah sekali duduk di dalam. seharusnya AC dirawat secara berkala supaya pelanggan tetap merasa nyaman saat berkunjung. saya sangat kecewa dengan pengalaman ini;suasana;akhir kali kunjung ac kafe kurang dingin siang hari rasa gerah sekali duduk ac rawat kala langgan tetap rasa nyaman kunjung sangat kecewa alam;24
waktu saya mau mengerjakan tugas di sini, teman saya juga merasakan hal yang sama. pelayan benar-benar cuek dan tidak peduli sama pelanggan, saya harus memanggil berkali-kali baru ada yang menghampiri meja saya. seharusnya mereka lebih proaktif memperhatikan tamu. hal seperti ini tidak seharusnya terjadi di kafe;pelayanan;waktu mau kerja tugas sini teman rasa sama layan benar benar cuek tidak peduli sama langgan panggil kali kali baru hampir meja lebih proaktif perhati tamu tidak jadi kafe;29
waktu saya mau mengerjakan tugas di sini, saya sudah beberapa kali mengalami hal ini. AC di kafe ini kurang dingin apalagi saat siang hari, rasanya gerah sekali duduk di dalam. belum lagi suasana kafe sangat ramai dan berisik di jam makan siang sampai tidak nyaman untuk bekerja atau belajar;suasana;waktu mau kerja tugas sini beberapa kali alami ac kafe kurang dingin siang hari rasa gerah sekali duduk belum suasana kafe sangat ramai berisik jam makan siang tidak nyaman kerja ajar;31
malam ini saya menyesal karena wifi password susah didapat karena harus tanya ke pelayan berkali-kali, kadang pelayan juga tidak tahu passwordnya. selain itu layout tempat duduk amat berdempetan satu sama lain sehingga tidak ada privasi dan terasa sangat sesak, saya bisa mendengar percakapan meja sebelah dengan jelas. sungguh mengecewakan untuk kafe sekelas meine welt;suasana;malam sesal wifi password susah dapat tanya layan kali kali kadang layan tidak tahu passwordnya layout tempat duduk dempet satu sama tidak privasi asa sangat sesak dengar cakap meja belah jelas sungguh kecewa kafe kelas meine welt;37
waktu saya mau mengerjakan tugas di sini, saya datang jauh-jauh dari rumah ke sini. pelayan sangat cuek dan tidak peduli sama pelanggan, saya harus memanggil berkali-kali baru ada yang menghampiri meja saya. seharusnya mereka lebih proaktif memperhatikan tamu. dan menurut saya sangat disayangkan padahal suasana kafenya bagus;pelayanan;waktu mau kerja tugas sini datang jauh jauh rumah sini layan sangat cuek tidak peduli sama langgan panggil kali kali baru hampir meja lebih proaktif perhati tamu sangat sayang padahal suasana kafe bagus;33
malam ini saya menyesal karena tempat sampah di sudut kafe sudah penuh sampai meluber dan mengeluarkan bau tidak sedap, sepertinya sudah lama banget tidak dibuang. seharusnya ada jadwal rutin untuk mengosongkan tempat sampah;suasana;malam sesal tempat sampah sudut kafe penuh luber keluar bau tidak sedap seperti lama sangat tidak buang jadwal rutin kosong tempat sampah;22
wifi password susah didapat karena harus tanya ke pelayan berkali-kali, padahal teman saya merekomendasikan tempat ini. kadang pelayan juga tidak tahu passwordnya. seharusnya password wifi ditempel di tempat yang mudah terlihat. mohon segera diperbaiki demi kenyamanan semua pelanggan;suasana;wifi password susah dapat tanya layan kali kali padahal teman rekomendasi tempat kadang layan tidak tahu passwordnya password wifi tempel tempat mudah lihat mohon segera baik nyaman semua langgan;29
waktu saya nongkrong di kafe ini, ini terjadi di depan teman-teman saya. antrian di kasir benar-benar panjang dan lambat sekali prosesnya, kasir hanya satu orang padahal pelanggan yang mengantri sudah banyak. seharusnya ditambah petugas kasir di jam ramai;pelayanan;waktu nongkrong kafe jadi depan teman teman antri kasir benar benar panjang lambat sekali proses kasir satu orang padahal langgan antri banyak tambah tugas kasir jam ramai;27
pas saya lagi istirahat siang di kafe, saya sudah beberapa kali mengalami hal ini. bayar mahal di kafe meine welt tapi AC saja sering mati dan suasana tidak nyaman, rasanya sangat tidak worth it. uang yang dikeluarkan tidak sebanding dengan pengalaman di kafe ini;harga;pas istirahat siang kafe beberapa kali alami bayar mahal kafe meine welt ac sering mati suasana tidak nyaman rasa sangat tidak padan it uang keluar tidak banding alam kafe;29
beberapa hari lalu saat berkunjung, pelayanan di kafe ini sangat lamban, saya sudah memanggil pelayan berkali-kali tapi tidak ada yang datang menghampiri meja saya untuk mengambil pesanan. sangat mengecewakan. saya tidak menyangka kafe ini bisa seburuk ini;pelayanan;beberapa hari lalu kunjung layan kafe sangat lamban panggil layan kali kali tidak datang hampir meja ambil pesan sangat kecewa tidak sangka kafe buruk;24
saat saya datang bersama teman, staff kurang sigap dalam membersihkan meja yang sudah kotor, saya harus menunggu cukup lama sampai meja dibersihkan padahal banyak pelanggan yang sudah mengantri untuk duduk. yang sangat disayangkan adalah sangat disayangkan padahal suasana kafenya bagus;pelayanan;datang sama teman staff kurang sigap bersih meja kotor tunggu cukup lama meja bersih padahal banyak langgan antri duduk sangat sayang sangat sayang padahal suasana kafe bagus;27
setiap kali saya datang ke kafe ini selalu saja setelah membayar saya tidak diberikan struk pembayaran, saat saya minta pelayan bilang printer rusak.. ini sangat tidak profesional karena struk adalah bukti transaksi yang penting.. saya harap pihak kafe tidak mengabaikan keluhan pelanggan;pelayanan;kali datang kafe selalu bayar tidak beri struk bayar minta layan bilang printer rusak sangat tidak profesional struk bukti transaksi penting harap pihak kafe tidak abai keluh langgan;28
harga makanan di kafe meine welt amat mahal untuk porsi yang benar-benar kecil, saya sangat menyesal sudah memilih kafe ini. tidak sebanding sama sekali. selain itu harga minuman di sini sangat tidak sebanding dengan rasa yang didapat, bayar mahal tapi rasa biasa saja. selain itu harga snack di kafe meine welt terlalu mahal dibandingkan dengan kafe lain di sekitar sini yang menjual;harga;harga makan kafe meine welt mahal porsi benar benar kecil sangat sesal pilih kafe tidak banding sama sekali harga minum sini sangat tidak banding rasa dapat bayar mahal rasa biasa harga snack kafe meine welt terlalu mahal banding kafe sini jual;41
waktu saya mau mengerjakan tugas di sini, ada aroma tidak sedap yang berasal dari arah dapur kafe dan tercium sampai ke area makan pelanggan, ini sangat mengganggu selera makan.. tidak hanya itu, saat AC mati tempat langsung terasa sangat panas dan tidak nyaman untuk berlama-lama, saya terpaksa pindah ke luar tapi di luar juga panas. tidak hanya itu, musik di kafe ini terlalu keras volumenya sampai harus berteriak untuk mengobrol dengan teman, sangat mengganggu kenyamanan.;suasana;waktu mau kerja tugas sini aroma tidak sedap asal arah dapur kafe cium area makan langgan sangat ganggu selera makan tidak ac mati tempat langsung asa sangat panas tidak nyaman lama lama paksa pindah luar luar panas tidak musik kafe terlalu keras volume teriak obrol teman sangat ganggu nyaman;49
saya melihat banyak lalat berkeliaran di area makan kafe yang sangat mengganggu dan menjijikkan, apalagi saat itu saya sedang buru-buru. ini menunjukkan kurangnya kontrol hama di kafe. sangat tidak higienis untuk tempat makan;suasana;lihat banyak lalat liar area makan kafe sangat ganggu jijik sedang buru buru tunjuk kurang kontrol hama kafe sangat tidak higienis tempat makan;23
saat saya ajak keluarga makan di sini, banyak teman saya yang juga mengeluhkan hal ini. harga makanan di kafe meine welt terlalu mahal untuk porsi yang sangat kecil, tidak sebanding sama sekali. sebagai mahasiswa saya merasa harga di sini tidak ramah untuk kantong pelajar. hal ini diperparah dengan tolong pertimbangkan daya beli mahasiswa sebagai pelanggan utama;harga;ajak keluarga makan sini banyak teman keluh harga makan kafe meine welt terlalu mahal porsi sangat kecil tidak banding sama sekali mahasiswa rasa harga sini tidak ramah kantong ajar parah timbang daya beli mahasiswa langgan utama;36
kasir salah menghitung kembalian uang saya, untung saya sadar dan langsung meminta kekurangannya.. ini membuat pengalaman makan saya jadi tidak menyenangkan. ditambah lagi menu yang saya pesan ternyata sudah habis tapi baru dikasih tahu setelah menunggu 20 menit. lebih parahnya lagi harusnya ada pelatihan pelayanan untuk semua staf;pelayanan;kasir salah hitung kembali uang untung sadar langsung minta kurang buat alam makan jadi tidak senang tambah menu pesan nyata habis baru kasih tahu tunggu menit lebih parah harus latih layan semua staf;33
interior kafe sudah terlihat kusam dan butuh renovasi, cat dinding mengelupas dan beberapa hiasan sudah rusak. lebih menyebalkan lagi ruangan kafe terlalu sempit dan sesak terutama saat jam ramai, jarak antar meja terlalu dekat sehingga tidak ada privasi. masalah lainnya adalah kebersihan kafe secara keseluruhan sangat kurang dan perlu diperhatikan serius oleh manajemen, mulai. dan menurut saya saya harap manajemen kafe memperhatikan kenyamanan pelanggan;suasana;interior kafe lihat kusam butuh renovasi cat dinding kelupas beberapa hias rusak lebih sebal ruang kafe terlalu sempit sesak utama jam ramai jarak antar meja terlalu dekat tidak privasi masalah lain bersih kafe seluruh sangat kurang perlu perhati serius manajemen mulai harap manajemen kafe perhati nyaman langgan;47
vanilla latte hari ini rasanya aneh dan berbeda dari biasanya, ada rasa yang tidak semestinya. mungkin bahan bakunya sudah tidak fresh atau ada kesalahan dalam proses pembuatannya. semoga manajemen segera menindaklanjuti masalah ini;produk;vanilla latte hari rasa aneh beda biasa rasa tidak mesti mungkin bahan baku tidak segar salah proses buat moga manajemen segera menindaklanjuti masalah;23
hari ini pengalaman saya sangat buruk karena tidak ada menu murah yang terjangkau untuk kantong mahasiswa di kafe ini, saya sampai tidak mau kembali lagi ke sini. semua harganya di atas rata-rata. sangat sulit bagi mahasiswa yang ingin nongkrong tapi budget terbatas;harga;hari alam sangat buruk tidak menu murah jangkau kantong mahasiswa kafe tidak mau sini semua harga atas rata rata sangat sulit mahasiswa nongkrong budget batas;25
pelayanan di kafe ini sangat lamban, saya sudah memanggil pelayan berkali-kali tapi tidak ada yang datang menghampiri meja saya untuk mengambil pesanan. sangat mengecewakan. saya terpaksa memberi keluhan karena sudah kesal;pelayanan;layan kafe sangat lamban panggil layan kali kali tidak datang hampir meja ambil pesan sangat kecewa paksa beri keluh kesal;20
area parkir kafe amat sempit dan susah untuk memarkirkan motor atau mobil, saya sangat menyesal sudah memilih kafe ini.. selalu kali harus parkir jauh dari kafe.. hal seperti ini tidak seharusnya terjadi di kafe. seharusnya disediakan area parkir yang lebih luas untuk pelanggan. parahnya semoga kedepannya suasana kafe bisa lebih nyaman lagi;suasana;area parkir kafe sempit susah parkir motor mobil sangat sesal pilih kafe selalu kali parkir jauh kafe tidak jadi kafe sedia area parkir lebih luas langgan parah moga depan suasana kafe lebih nyaman;33
saat saya ajak keluarga makan di sini, saya datang jauh-jauh dari rumah ke sini. tidak rela bayar semahal ini untuk kualitas makanan dan pelayanan seperti yang saya terima hari ini, mending ke kafe lain yang lebih murah tapi kualitasnya jauh lebih memuaskan;harga;ajak keluarga makan sini datang jauh jauh rumah sini tidak rela bayar mahal kualitas makan layan terima hari mending kafe lebih murah kualitas jauh lebih muas;26
menu yang saya pesan ternyata sudah habis tapi baru dikasih tahu setelah menunggu 20 menit. bukan cuma itu, teman saya juga merasakan hal yang sama. pesanan saya tertukar dengan meja lain dan saya baru sadar setelah mencicipi makanannya. bukan cuma itu, setelah membayar saya tidak diberikan struk pembayaran, saat saya minta pelayan bilang printer rusak. saya jadi berpikir dua kali untuk datang lagi. lebih parahnya lagi semoga kedepannya pelayanan bisa lebih baik lagi;pelayanan;menu pesan nyata habis baru kasih tahu tunggu menit bukan cuma teman rasa sama pesan tukar meja baru sadar cicip makan bukan cuma bayar tidak beri struk bayar minta layan bilang printer rusak jadi pikir kali datang lebih parah moga depan layan lebih baik;44
waktu saya mau mengerjakan tugas di sini, saya melihat banyak lalat berkeliaran di area makan kafe yang benar-benar mengganggu dan menjijikkan, ini menunjukkan kurangnya kontrol hama di kafe. banget tidak higienis untuk tempat makan;suasana;waktu mau kerja tugas sini lihat banyak lalat liar area makan kafe benar benar ganggu jijik tunjuk kurang kontrol hama kafe sangat tidak higienis tempat makan;26
kemarin saat saya berkunjung, saya datang jauh-jauh dari rumah ke sini. pesanan saya tidak kunjung datang meski sudah menunggu benar-benar lama di meja, saya terpaksa menghampiri kasir untuk menanyakan status pesanan. belum lagi pelayanan di kafe ini banget lamban, saya sudah memanggil pelayan berkali-kali tapi tidak ada yang datang menghampiri meja saya untuk mengambil pesanan;pelayanan;kemarin kunjung datang jauh jauh rumah sini pesan tidak kunjung datang meski tunggu benar benar lama meja paksa hampir kasir tanya status pesan belum layan kafe sangat lamban panggil layan kali kali tidak datang hampir meja ambil pesan;38
interior kafe sudah terlihat kusam dan butuh renovasi, padahal review di internet bilang kafe ini bagus. cat dinding mengelupas dan beberapa hiasan sudah rusak. suasana kafe yang tidak cukup menarik membuat pelanggan kurang betah berkelamaan-lama;suasana;interior kafe lihat kusam butuh renovasi padahal review internet bilang kafe bagus cat dinding kelupas beberapa hias rusak suasana kafe tidak cukup tarik buat langgan kurang betah lama lama;29
waktu saya nongkrong di kafe ini, ruangan kafe terlalu sempit dan sesak terutama saat jam ramai, jarak antar meja terlalu dekat sehingga tidak ada privasi. pelanggan juga susah lewat karena sempitnya ruangan kafe ini. saya berharap ada perbaikan secepatnya;suasana;waktu nongkrong kafe ruang kafe terlalu sempit sesak utama jam ramai jarak antar meja terlalu dekat tidak privasi langgan susah lewat sempit ruang kafe harap baik cepat;27
malam ini saya kecewa karena rasa minuman di kafe ini tidak konsisten setiap kali saya pesan, kadang enak kadang tidak. masalah lainnya adalah chicken fillet yang saya pesan rasanya sangat hambar dan tidak ada bumbu sama sekali, seperti ayam rebus yang dikasih tepung saja tanpa ada rasa. yang lebih parah lagi nasi goreng yang saya pesan terlalu asin rasanya sampai tidak bisa dimakan, sepertinya koki terlalu banyak memasukkan garam atau kecap asin. hal seperti ini tidak seharusnya terjadi di kafe;produk;malam kecewa rasa minum kafe tidak konsisten kali pesan kadang enak kadang tidak masalah lain chicken fillet pesan rasa sangat hambar tidak bumbu sama sekali ayam rebus kasih tepung tanpa rasa lebih parah nasi goreng pesan terlalu asin rasa tidak makan seperti koki terlalu banyak masuk garam kecap asin tidak jadi kafe;52
mending ke kafe lain yang harganya lebih murah tapi makanan dan minumannya lebih enak serta pelayanannya lebih ramah, kafe meine welt terlalu overpriced untuk kualitas yang diberikan. saya berharap ada perbaikan secepatnya;harga;mending kafe harga lebih murah makan minum lebih enak layan lebih ramah kafe meine welt terlalu mahal kualitas beri harap baik cepat;22
pelayanan kafe meine welt sangat mengecewakan hari ini, padahal review di internet bilang kafe ini bagus.. saya berharap manajemen bisa mengevaluasi dan memperbaiki hal ini.. saya jadi berpikir dua kali untuk datang lagi. mulai dari pelayan yang lambat sampai pesanan yang salah. ditambah dengan fakta bahwa harusnya ada pelatihan pelayanan untuk semua staf;pelayanan;layan kafe meine welt sangat kecewa hari padahal review internet bilang kafe bagus harap manajemen evaluasi baik jadi pikir kali datang mulai layan lambat pesan salah tambah fakta harus latih layan semua staf;33
minuman yang datang terlalu banyak es nya sehingga porsi minuman aslinya jadi sangat sedikit, rasanya seperti minum es batu saja. seharusnya proporsi es dan minumannya lebih seimbang. semoga manajemen segera menindaklanjuti masalah ini. yang sangat disayangkan adalah saya kecewa karena biasanya makanan di sini enak;produk;minum datang terlalu banyak es nya porsi minum asli jadi sangat sedikit rasa minum es batu proporsi es minum lebih imbang moga manajemen segera menindaklanjuti masalah sangat sayang kecewa biasa makan sini enak;33
pelayanan di kafe ini banget lamban, padahal saya sudah reservasi sebelumnya. saya sudah memanggil pelayan berkali-kali tapi tidak ada yang datang menghampiri meja saya untuk mengambil pesanan. saya juga kecewa karena pelayan sangat lambat melayani pesanan saya, padahal kafe sedang tidak ramai sama sekali. selain itu staff kurang sigap dalam membersihkan meja yang sudah kotor, saya harus menunggu cukup kelamaan sampai;pelayanan;layan kafe sangat lamban padahal reservasi belum panggil layan kali kali tidak datang hampir meja ambil pesan kecewa layan sangat lambat layan pesan padahal kafe sedang tidak ramai sama sekali staff kurang sigap bersih meja kotor tunggu cukup lama;39
ruangan kafe terlalu sempit dan sesak terutama saat jam ramai, jarak antar meja terlalu dekat sehingga tidak ada privasi.. tidak hanya itu, toilet kafe meine welt kurang bersih dan berbau tidak sedap, sabun cuci tangan juga habis tidak diisi ulang. selain itu bekas makanan yang jatuh di lantai tidak segera dibersihkan oleh staf kafe sehingga terlihat sangat jorok dan tidak enak dipandang.;suasana;ruang kafe terlalu sempit sesak utama jam ramai jarak antar meja terlalu dekat tidak privasi tidak toilet kafe meine welt kurang bersih bau tidak sedap sabun cuci tangan habis tidak isi ulang bekas makan jatuh lantai tidak segera bersih staf kafe lihat sangat jorok tidak enak pandang;47
saat saya makan siang di sini, saya datang jauh-jauh dari rumah ke sini. pelayan di kafe ini sangat tidak ramah, tidak ada senyum sama sekali dan terkesan tidak peduli dengan pelanggan. belum lagi antrian di kasir sangat panjang dan lambat sekali prosesnya, kasir hanya satu orang padahal pelanggan yang mengantri sudah banyak. ini bukan pertama kalinya saya mengalami hal seperti ini;pelayanan;makan siang sini datang jauh jauh rumah sini layan kafe sangat tidak ramah tidak senyum sama sekali kes tidak peduli langgan belum antri kasir sangat panjang lambat sekali proses kasir satu orang padahal langgan antri banyak bukan pertama kali alami;40
pas saya lagi istirahat siang di kafe, stop kontak di kafe banget jarang dan posisinya susah dijangkau dari meja, padahal banyak pelanggan yang butuh mengisi daya laptop atau handphone. lebih menyebalkan lagi saya melihat kecoa di dekat meja tempat saya duduk dan benar-benar terkejut, ini sangat menjijikkan untuk tempat makan;suasana;pas istirahat siang kafe stop kontak kafe sangat jarang posisi susah jangkau meja padahal banyak langgan butuh isi daya laptop handphone lebih sebal lihat kecoa dekat meja tempat duduk benar benar kejut sangat jijik tempat makan;36
minggu lalu waktu saya datang, saya menemukan rambut di dalam makanan yang saya pesan dan sangat jijik melihatnya, ini menunjukkan kurangnya standar kebersihan di dapur kafe. bukan cuma itu, indomie yang disajikan kurang bumbu dan rasanya hambar, padahal di tempat lain indomie selalu enak. tidak hanya itu, lavanilla yang saya pesan rasanya terlalu manis sampai bikin eneg, perbandingan gula dan susunya tidak seimbang;produk;minggu lalu waktu datang temu rambut makan pesan sangat jijik lihat tunjuk kurang standar bersih dapur kafe bukan cuma indomie saji kurang bumbu rasa hambar padahal tempat indomie selalu enak tidak lavanilla pesan rasa terlalu manis bikin eneg banding gula susu tidak imbang;43
beef teriyaki yang saya pesan dagingnya belum empuk dan keras saat dikunyah, saya sampai tidak mau kembali lagi ke sini. bumbunya juga tidak meresap sempurna. untuk menu premium seperti ini kualitasnya banget mengecewakan. mohon segera diperbaiki demi kenyamanan semua pelanggan. parahnya mungkin perlu mengganti supplier bahan baku yang lebih baik;produk;beef teriyaki pesan daging belum empuk keras kunyah tidak mau sini bumbu tidak resap sempurna menu premium kualitas sangat kecewa mohon segera baik nyaman semua langgan parah mungkin perlu ganti supplier bahan baku lebih baik;35
terakhir kali saya berkunjung, teman saya juga merasakan hal yang sama. waktu tunggu pesanan di kafe meine welt terlalu lama dan tidak wajar, saya sampai bosan menunggu. pelayan juga tidak memberikan informasi berapa lama harus menunggu pesanan. lebih parahnya lagi harusnya ada pelatihan pelayanan untuk semua staf;pelayanan;akhir kali kunjung teman rasa sama waktu tunggu pesan kafe meine welt terlalu lama tidak wajar bosan tunggu layan tidak beri informasi berapa lama tunggu pesan lebih parah harus latih layan semua staf;33
tidak akan datang lagi ke kafe ini kalau pelayanannya masih seperti ini, amat mengecewakan dan membuang waktu. masalah lainnya adalah staf kafe tidak responsif sama sekali saat saya panggil untuk memesan, saya harus berdiri dan menghampiri mereka langsung ke area kasir;pelayanan;tidak datang kafe kalau layan kecewa buang waktu masalah lain staf kafe tidak responsif sama sekali panggil mes diri hampir langsung area kasir;23
pesanan makanan saya datangnya sangat lama padahal teman saya yang pesan bersamaan sudah dapat duluan. ditambah lagi saya sudah bilang minta less sugar untuk minuman tapi yang datang tetap manis sekali, sepertinya pelayan tidak memperhatikan permintaan khusus pelanggan;pelayanan;pesan makan datang sangat lama padahal teman pesan sama duluan tambah bilang minta less sugar minum datang tetap manis sekali seperti layan tidak perhati minta khusus langgan;27
hari ini pengakelamaann saya sangat parah karena saya melihat banyak lalat berkeliaran di area makan kafe yang sangat mengganggu dan menjijikkan, banyak teman saya yang juga mengeluhkan hal ini. ini menunjukkan kurangnya kontrol hama di kafe. saya juga kecewa karena tempat sampah di sudut kafe sudah penuh sampai meluber dan mengeluarkan bau tidak sedap, sepertinya sudah lama tidak dibuang. lebih parahnya lagi semoga kedepannya suasana kafe bisa lebih nyaman lagi;suasana;hari pengakelamaann sangat parah lihat banyak lalat liar area makan kafe sangat ganggu jijik banyak teman keluh tunjuk kurang kontrol hama kafe kecewa tempat sampah sudut kafe penuh luber keluar bau tidak sedap seperti lama tidak buang lebih parah moga depan suasana kafe lebih nyaman;45
kursi di kafe ini goyang dan tidak stabil membuat tidak nyaman saat duduk, padahal ini kunjungan pertama teman saya. beberapa kursi bahkan sudah rusak kakinya. saya juga kecewa karena stop kontak di kafe sangat jarang dan posisinya susah dijangkau dari meja, padahal banyak pelanggan yang butuh mengisi daya laptop atau handphone;suasana;kursi kafe goyang tidak stabil buat tidak nyaman duduk padahal kunjung pertama teman beberapa kursi bahkan rusak kaki kecewa stop kontak kafe sangat jarang posisi susah jangkau meja padahal banyak langgan butuh isi daya laptop handphone;36
setelah membayar saya tidak diberikan struk pembayaran, saat saya minta pelayan bilang printer rusak. bukan cuma itu, pengakelamaann pelayanan terburuk yang pernah saya rasakan di kafe ini, mulai dari sikap pelayan yang tidak ramah hingga pesanan yang datangnya benar-benar lama. saya tidak menyangka kafe ini bisa seburuk ini;pelayanan;bayar tidak beri struk bayar minta layan bilang printer rusak bukan cuma pengakelamaann layan buruk pernah rasa kafe mulai sikap layan tidak ramah hingga pesan datang benar benar lama tidak sangka kafe buruk;33
saat saya masuk kafe tidak ada sambutan sama sekali dari staf, saya harus mencari meja sendiri dan menunggu lama banget sampai ada pelayan yang menghampiri. tidak hanya itu, pelayanan kafe meine welt banget mengecewakan hari ini, mulai dari pelayan yang lambat sampai pesanan yang salah;pelayanan;masuk kafe tidak sambut sama sekali staf cari meja sendiri tunggu lama sangat layan hampir tidak layan kafe meine welt sangat kecewa hari mulai layan lambat pesan salah;28
saat saya datang bersama teman, pelayan di kafe ini sangat tidak ramah, tidak ada senyum sama sekali dan terkesan tidak peduli dengan pelanggan. masalah lainnya adalah pesanan diminta dibatalkan karena menunggu amat kelamaan tapi tetap dibuatkan dan ditagihkan ke saya, ini sangat tidak adil;pelayanan;datang sama teman layan kafe sangat tidak ramah tidak senyum sama sekali kes tidak peduli langgan masalah lain pesan minta batal tunggu lama tetap buat tagih sangat tidak adil;29
pagi ini waktu saya sarapan di kafe, padahal teman saya merekomendasikan tempat ini. tidak akan datang lagi ke kafe ini kalau pelayanannya masih seperti ini, sangat mengecewakan dan membuang waktu. saya juga kecewa karena pelayan di kafe ini sangat tidak ramah, tidak ada senyum sama sekali dan terkesan tidak peduli dengan pelanggan;pelayanan;pagi waktu sarap kafe padahal teman rekomendasi tempat tidak datang kafe kalau layan sangat kecewa buang waktu kecewa layan kafe sangat tidak ramah tidak senyum sama sekali kes tidak peduli langgan;31
saat saya datang bersama teman, pelayan salah mengantar pesanan ke meja saya, yang datang bukan menu yang saya pesan. yang lebih parah lagi kasir salah menghitung kembalian uang saya, untung saya sadar dan langsung meminta kekurangannya. hal seperti ini tidak seharusnya terjadi di kafe;pelayanan;datang sama teman layan salah antar pesan meja datang bukan menu pesan lebih parah kasir salah hitung kembali uang untung sadar langsung minta kurang tidak jadi kafe;27
pelayanan kafe meine welt sangat mengecewakan hari ini, mulai dari pelayan yang lambat sampai pesanan yang salah. saya berharap manajemen bisa mengevaluasi dan memperbaiki hal ini. sungguh mengecewakan untuk kafe sekelas meine welt. saya juga merasa kafe dengan pelayanan seperti ini sulit untuk bertahan;pelayanan;layan kafe meine welt sangat kecewa hari mulai layan lambat pesan salah harap manajemen evaluasi baik sungguh kecewa kafe kelas meine welt rasa kafe layan sulit tahan;27
